????/s,??????????????????/V,????????/rad,,????????/Hz,????????
0.0148,60.64542428,-0.085046305,,,
0.0149,60.64779776,-0.086087504,,,
0.015,60.64972743,-0.088156583,,,
0.0151,60.65120769,-0.090796112,,,
0.0152,60.65235224,-0.093259331,,,
0.0153,60.65331884,-0.094871925,,,
0.0154,60.65421959,-0.095355707,,,
0.0155,60.65507468,-0.094929367,,,
0.0156,60.65583005,-0.094144077,,,
0.0157,60.65641328,-0.093570715,,,
0.0158,60.65678128,-0.093532126,,,
0.0159,60.65692872,-0.094026241,,,
0.016,60.65686221,-0.094853346,,,
0.0161,60.65657262,-0.095833988,,,
0.0162,60.65603526,-0.096961722,,,
0.0163,60.65523965,-0.098396047,,,
0.0164,60.65422123,-0.100317242,,,
0.0165,60.65306165,-0.102756259,,,
0.0166,60.65184773,-0.105521599,,,
0.0167,60.65061405,-0.108272419,,,
0.0168,60.64931172,-0.11068747,,,
0.0169,60.64783156,-0.112619786,,,
0.017,60.64607084,-0.114143265,,,
0.0171,60.64399906,-0.115473269,,,
0.0172,60.64167537,-0.116824468,,,
0.0173,60.63920315,-0.118300338,,,
0.0174,60.63665362,-0.119873926,,,
0.0175,60.63401479,-0.121450201,,,
0.0176,60.63120645,-0.122948476,,,
0.0177,60.62815248,-0.124342832,,,
0.0178,60.62486433,-0.125643009,,,
0.0179,60.62146108,-0.126849432,,,
0.018,60.61811188,-0.127933249,,,
0.0181,60.61492851,-0.128864289,,,
0.0182,60.61188014,-0.129662477,,,
0.0183,60.60879229,-0.130422748,,,
0.0184,60.60543727,-0.131282603,,,
0.0185,60.60166095,-0.132350934,,,
0.0186,60.59746408,-0.133654091,,,
0.0187,60.59298566,-0.135145106,,,
0.0188,60.58840328,-0.136768853,,,
0.0189,60.58382267,-0.138524089,,,
0.019,60.57923682,-0.14045969,,,
0.0191,60.57458426,-0.142596369,,,
0.0192,60.56986101,-0.144837038,,,
0.0193,60.56521048,-0.146956197,,,
0.0194,60.56089791,-0.148708114,,,
0.0195,60.55719248,-0.149995763,,,
0.0196,60.55422082,-0.150973846,,,
0.0197,60.55189459,-0.151982085,,,
0.0198,60.54996811,-0.153317984,,,
0.0199,60.54819593,-0.154988363,,,
0.02,60.54648932,-0.156623335,,,
0.0201,60.54496678,-0.157642514,,,
0.0202,60.54386209,-0.157587933,,,
0.0203,60.54334981,-0.156410515,,,
0.0204,60.54340702,-0.154513627,,,
0.0205,60.54380844,-0.152512745,,,
0.0206,60.5442628,-0.150866125,,,
0.0207,60.5445996,-0.149632147,,,
0.0208,60.54487662,-0.148529937,,,
0.0209,60.54532742,-0.14726465,,,
0.021,60.54617661,-0.145882083,,,
0.0211,60.54744443,-0.144883596,,,
0.0212,60.5488773,-0.144988457,,,
0.0213,60.55006323,-0.146674709,,,
0.0214,60.55066964,-0.149797047,,,
0.0215,60.5506557,-0.153547983,,,
0.0216,60.55032124,-0.156809745,,,
0.0217,60.55015572,-0.158690362,,,
0.0218,60.55057901,-0.158922595,,,
0.0219,60.55173563,-0.157896574,,,
0.022,60.55346936,-0.156326506,,,
0.0221,60.55548744,-0.154774292,,,
0.0222,60.55760073,-0.153333063,,,
0.0223,60.55987668,-0.151660047,,,
0.0224,60.56260128,-0.149315094,,,
0.0225,60.56607333,-0.146164237,,,
0.0226,60.57036708,-0.142573506,,,
0.0227,60.57522261,-0.139261288,,,
0.0228,60.5801393,-0.136901595,,,
0.0229,60.58463108,-0.135732334,,,
0.023,60.58846536,-0.135419267,,,
0.0231,60.5917595,-0.135262575,,,
0.0232,60.59486783,-0.134618116,,,
0.0233,60.59813778,-0.13327681,,,
0.0234,60.60169065,-0.131579008,,,
0.0235,60.60535986,-0.130208439,,,
0.0236,60.60881491,-0.129804502,,,
0.0237,60.61178093,-0.130632006,,,
0.0238,60.61420898,-0.132496464,,,
0.0239,60.61629174,-0.134930684,,,
0.024,60.6183251,-0.137511636,,,
0.0241,60.62051485,-0.140097709,,,
0.0242,60.62285705,-0.142841767,,,
0.0243,60.62516509,-0.145987222,,,
