time, ms,风电模拟高压侧交流电压A相有效值,风电模拟高压侧交流电压B相有效值,风电模拟高压侧交流电压C相有效值,风电模拟高压侧交流电流A相有效值,风电模拟高压侧交流电流B相有效值,风电模拟高压侧交流电流C相有效值,风电模拟高压侧直流电压平均值,风电模拟高压侧交流电网频率,风电模拟高压侧交流有功功率,风电模拟高压侧交流无功功率,风电模拟高压侧有功功率设定回读,风电模拟高压侧无功功率设定回读,
14:00:00,0,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,100,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,200,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,300,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,400,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,500,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,600,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,700,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,800,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:00,900,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
14:00:01,0,2.10000,2.80000,3.10000,0.00000,0.00000,0.00000,-1.70000,52.30000,0.00000,0.00000,0.00000,0.00000,
