1PV_P_Bus1,2PV_P_Bus2,3PV_P_Bus3,1PV_Q_Bus1,2PV_Q_Bus2,3PV_Q_Bus3,1Line_Ps_FB1_TB2,2Line_Ps_FB1_TB3,3Line_Ps_FB2_TB4,4Line_Ps_FB3_TB4,1Line_Qs_FB1_TB2,2Line_Qs_FB1_TB3,3Line_Qs_FB2_TB4,4Line_Qs_FB3_TB4,Vm_Bus1,Vm_Bus2,Vm_Bus3,Vm_Bus4,Va_Bus1,Va_Bus2,Va_Bus3,Va_Bus4,1PV_Pmax_Bus1,2PV_Pmax_Bus2,3PV_Pmax_Bus3,Margin
123.95,63.846,180.14,228.36,22.429,-47.715,70.357,15.871,9.4839,49.132,76.291,132.38,27.687,-0.14332,1.023,0.9774,0.97243,0.96605,0,-0.027752,0.00398,-0.029303,418.09,381.36,344.67,2.1132
205.31,164.53,21.289,-124.94,151.52,187.45,36.92,128.43,68.925,-6.5702,-60.121,-85.225,16.714,12.111,1.0003,1.0266,1.0222,1.0155,0,-0.024037,-0.052953,-0.047439,369.33,358.33,334.07,1.7178
157.92,71.13,166.35,137.16,106.52,-28.435,79.356,38.469,16.324,46.873,16.866,101.37,47.61,-17.415,1.0258,1.0096,0.98543,0.99063,0,-0.036977,-0.0066841,-0.039501,362.81,289.75,342.21,1.5153
160.02,126.67,195.55,202.84,130.53,-59.284,68.918,42.032,32.198,44.847,28.43,148.12,64.806,-25.316,1.0287,1.0077,0.97035,0.98105,0,-0.030737,-0.0046074,-0.037967,459.16,372.07,358.65,1.4652
58.432,73.126,43.523,-66.224,118.49,19.976,10.493,30.274,24.066,3.9379,-59.252,-9.8191,30.526,-23.2,0.99467,1.0233,0.99608,1.0103,0,-0.011078,-0.012105,-0.017537,228.55,340.24,186.35,3.3116
143.31,28.999,174.08,-142.27,190.57,137.49,87.261,20.686,-1.4988,56.779,-89.021,-70.272,34.292,-9.5753,0.99193,1.0277,1.0165,1.0153,0,-0.051984,-0.012825,-0.049001,469.31,360.42,313.63,2.2973
42.185,99.036,116.2,-56.514,163,17.717,11.234,5.0467,22.695,18.534,-69.775,5.2108,46.747,-30.85,0.99602,1.0297,0.99369,1.011,0,-0.012395,-0.0015045,-0.017159,200.35,361.52,274.5,2.2498
65.767,17.723,66.784,17.999,9.4923,29.465,35.965,14.713,2.5991,21.44,12.511,4.5021,-1.3168,6.4957,0.98878,0.97866,0.98597,0.97896,0,-0.017424,-0.0052698,-0.018536,302.07,345.59,221.25,4.7667
65.691,88.321,51.608,-189.83,67.379,220.44,9.5787,34.789,28.53,4.1274,-53.066,-145.34,-20.586,30.748,0.97713,1.0032,1.0285,1.0087,0,-0.010395,-0.023653,-0.022398,599.5,243.63,337.18,4.7216
205.23,110.62,11.191,107.05,30.573,34.803,51.361,120.52,51.11,1.0244,42.173,49.712,11.683,11.011,1.0235,0.99729,0.99629,0.98908,0,-0.021183,-0.040342,-0.039576,475.86,213.95,331.18,2.1148
